29.5, 93.04948974278317
29.5, 101.84948974278318
44.5, 31.944994432064362
44.5, 38.5
44.5, 78.3
44.5, 89.2
49.5, 27.633030277982336
49.5, 40.72093727122985
49.5, 74.14948974278317
49.5, 81.34948974278318
49.5, 90.82093727122987
54.5, 15.19128784747792
54.5, 17.98743420870379
54.5, 24.42693221990232
54.5, 68.09317121994613
54.5, 73.44499443206436
54.5, 79.5874342087038
54.5, 121.37979589711328
59.5, 27.02693221990232
59.5, 37.32693221990232
59.5, 47.13303027798233
59.5, 55.44948974278318
59.5, 89.83303027798233
59.5, 95.12693221990232
64.5, 40.3
64.5, 83.87979589711328
64.5, 94.3874342087038
69.5, 32.83303027798233
69.5, 38.8
69.5, 45.12693221990232
69.5, 54.82093727122986
69.5, 118.33303027798233
74.5, 18.0
74.5, 20.587434208703787
74.5, 29.29317121994613
74.5, 28.28743420870379
74.5, 37.02093727122986
74.5, 49.1
74.5, 65.8874342087038
74.5, 89.98743420870379
79.5, 23.92093727122986
79.5, 30.826932219902318
79.5, 42.54948974278318
79.5, 49.02693221990232
79.5, 53.62093727122986
79.5, 95.62693221990233
84.5, 28.29799919935936
84.5, 45.379795897113276
84.5, 57.84499443206437
84.5, 63.044994432064364
84.5, 67.18743420870379
84.5, 73.44499443206438
84.5, 92.64499443206438
89.5, 96.13303027798233
89.5, 126.13303027798233
